epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.568,1.69521,3.30448,1.52216,0.43908,0.36008,0.34353,0.22176,1.32204,2.42183,1.48676,0.000471963,0.000471963,0.000471963
2,161.854,1.71654,2.58322,1.53875,0.58977,0.57016,0.58563,0.31051,1.49268,1.96799,1.60145,0.000901356,0.000901356,0.000901356
3,176.433,1.71462,2.19229,1.52434,0.553,0.56487,0.5726,0.30332,1.52001,2.60844,1.53309,0.00128359,0.00128359,0.00128359
4,190.737,1.67384,1.99516,1.47039,0.55932,0.60976,0.62864,0.36557,1.37927,2.01516,1.49633,0.00121679,0.00121679,0.00121679
5,204.941,1.61287,1.80461,1.4588,0.63691,0.71349,0.71319,0.42193,1.35157,1.36114,1.44079,0.00114606,0.00114606,0.00114606
6,218.986,1.56802,1.69417,1.46563,0.63341,0.65528,0.64943,0.38752,1.38836,1.42834,1.41644,0.00107532,0.00107532,0.00107532
7,233.109,1.48643,1.53693,1.41438,0.65091,0.6994,0.6888,0.44683,1.28019,1.34189,1.35184,0.00100459,0.00100459,0.00100459
8,247.339,1.46795,1.46815,1.37964,0.71378,0.67411,0.71567,0.48627,1.16922,1.38591,1.29407,0.000933851,0.000933851,0.000933851
9,261.55,1.45709,1.39342,1.3714,0.81712,0.7732,0.81191,0.52494,1.18091,1.12716,1.27331,0.000863116,0.000863116,0.000863116
10,276.057,1.40765,1.34118,1.34222,0.81639,0.73202,0.78361,0.544,1.14706,1.15157,1.29316,0.00079238,0.00079238,0.00079238
11,291.743,1.32571,1.20481,1.32149,0.8028,0.79687,0.82382,0.5734,1.09063,1.06269,1.26454,0.000721645,0.000721645,0.000721645
12,305.817,1.29326,1.15023,1.29816,0.85756,0.78488,0.84593,0.59852,1.05653,0.98328,1.22064,0.000650909,0.000650909,0.000650909
13,319.895,1.25107,1.05474,1.25541,0.82203,0.81813,0.88135,0.61153,1.14668,0.99245,1.22653,0.000580174,0.000580174,0.000580174
14,334.079,1.22495,0.98284,1.22812,0.9101,0.78878,0.85476,0.63753,1.00912,0.88445,1.17623,0.000509438,0.000509438,0.000509438
15,348.29,1.18893,0.93858,1.20932,0.88419,0.81915,0.87431,0.61251,1.0718,0.85424,1.2268,0.000438703,0.000438703,0.000438703
16,362.509,1.1426,0.89241,1.19655,0.86357,0.80565,0.85335,0.61067,1.02986,0.95851,1.20396,0.000367967,0.000367967,0.000367967
17,376.538,1.13566,0.87809,1.17669,0.88677,0.82802,0.86416,0.62748,1.0249,0.88138,1.16101,0.000297232,0.000297232,0.000297232
18,390.477,1.10277,0.81799,1.15434,0.89741,0.7994,0.86528,0.62764,1.03046,0.8953,1.17997,0.000226497,0.000226497,0.000226497
19,404.707,1.07264,0.78666,1.14117,0.89832,0.79758,0.85285,0.64738,0.96659,0.96535,1.13311,0.000155761,0.000155761,0.000155761
20,418.64,1.04783,0.756,1.12295,0.90611,0.82636,0.86805,0.64387,0.98299,0.84987,1.14092,8.50255e-05,8.50255e-05,8.50255e-05
