epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6745,0.8637,1.7001,1.41262,0.43871,0.54209,0.38369,0.13956,2.17826,2.21226,3.40656,0.000552832,0.000552832,0.000552832
2,52.0173,0.88896,1.20706,1.42035,0.377,0.54914,0.33936,0.17444,1.75528,2.23565,3.40696,0.00105418,0.00105418,0.00105418
3,73.7691,0.88375,1.03851,1.41811,0.52821,0.54575,0.5102,0.26039,1.79535,1.42437,2.90158,0.00150108,0.00150108,0.00150108
4,95.5092,0.8486,0.92847,1.37577,0.70225,0.61078,0.6285,0.32706,1.71573,1.27232,2.6998,0.00142195,0.00142195,0.00142195
5,117.337,0.81061,0.84266,1.35502,0.79861,0.50049,0.60094,0.34408,1.45745,1.36936,2.13393,0.00134027,0.00134027,0.00134027
6,138.853,0.78714,0.79293,1.33732,0.65518,0.69414,0.66234,0.3895,1.43459,1.10142,2.23368,0.00125858,0.00125858,0.00125858
7,160.501,0.74688,0.73982,1.30573,0.71224,0.61559,0.68529,0.42483,1.35963,0.98066,2.07229,0.0011769,0.0011769,0.0011769
8,182.414,0.72825,0.68906,1.28587,0.79087,0.74634,0.81341,0.47455,1.28915,0.83435,2.01595,0.00109522,0.00109522,0.00109522
9,204.118,0.69345,0.65728,1.26917,0.78704,0.68249,0.7715,0.46077,1.41634,0.85392,2.13281,0.00101354,0.00101354,0.00101354
10,225.987,0.6854,0.64086,1.25257,0.80641,0.72964,0.79157,0.5043,1.27882,0.82905,1.98024,0.000931853,0.000931853,0.000931853
11,248.756,0.60221,0.51121,1.31467,0.80435,0.74983,0.80474,0.51275,1.25189,0.7987,1.98472,0.00085017,0.00085017,0.00085017
12,270.029,0.5811,0.43287,1.28426,0.86746,0.76903,0.85771,0.54056,1.26216,0.76789,1.961,0.000768487,0.000768487,0.000768487
13,291.28,0.55004,0.40513,1.25822,0.75018,0.70914,0.79002,0.51391,1.16574,0.86999,1.85805,0.000686804,0.000686804,0.000686804
14,312.385,0.52491,0.37725,1.2372,0.7782,0.76283,0.82591,0.56866,1.07528,0.76361,1.7551,0.000605121,0.000605121,0.000605121
15,333.365,0.50841,0.34693,1.21682,0.86627,0.78454,0.8538,0.58869,1.12927,0.64821,1.84095,0.000523438,0.000523438,0.000523438
16,354.452,0.48839,0.32209,1.20115,0.85546,0.82455,0.88269,0.58725,1.11919,0.63444,1.7973,0.000441755,0.000441755,0.000441755
17,375.497,0.47199,0.30644,1.17609,0.77165,0.77332,0.83349,0.57613,1.06216,0.83124,1.70617,0.000360072,0.000360072,0.000360072
18,396.588,0.46009,0.29128,1.1777,0.87025,0.87967,0.91081,0.62715,1.06696,0.61473,1.71492,0.000278389,0.000278389,0.000278389
19,417.793,0.4487,0.28226,1.16307,0.92808,0.82591,0.90359,0.62313,1.06776,0.6063,1.7427,0.000196706,0.000196706,0.000196706
20,438.919,0.43555,0.26973,1.1483,0.86443,0.88022,0.90644,0.62207,1.09976,0.60966,1.77304,0.000115023,0.000115023,0.000115023
